route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
783-221,Weekday-1,1274-78302-55800-2-23265199,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekend-1,1274-78302-55800-2-32918c90,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekday-1,1274-78302-59400-2-23265199,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
298-221,Weekend-2,1261-29802-60600-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-60600-2-922cd9ef,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Weekday-4,1261-29802-60600-2-e0b3e8a1,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekend-3,1261-29802-60600-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
783-221,Weekend-1,1274-78302-59400-2-32918c90,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekday-1,1274-78302-63000-2-23265199,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekend-1,1274-78302-63000-2-32918c90,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekend-1,1274-78302-66600-2-32918c90,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekday-1,1274-78302-66600-2-6aaca1cc,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
298-221,Weekday-3,1261-29802-61800-2-922cd9ef,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Weekday-4,1261-29802-61800-2-e0b3e8a1,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-63000-2-922cd9ef,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Weekday-4,1261-29802-63000-2-e0b3e8a1,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
66-203,Weekday-1,1275-06601-19800-2-082d3aec,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekday-1,1275-06601-21600-2-082d3aec,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-21600-2-22d4d15d,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekday-1,1275-06601-23400-2-012cd194,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-23400-2-22d4d15d,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
298-221,Weekend-2,1261-29802-64200-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-64200-2-92eeb648,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Weekday-4,1261-29802-64200-2-9811ddd1,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekend-3,1261-29802-64200-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
66-203,Weekday-1,1275-06601-24300-2-012cd194,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-25200-2-22d4d15d,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekday-1,1275-06601-25200-2-caadd97e,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
